RS_GCF_016772045.2	d__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Ovis;s__Ovis aries
RS_GCF_002263795.3	d__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__Bos taurus
RS_GCF_001704415.2	d__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Capra;s__Capra hircus
RS_GCF_910594005.1	d__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Cervidae;g__Cervus;s__Cervus elaphus
RS_GCF_019320065.1	d__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Cervidae;g__Cervus;s__Cervus canadensis
RS_GCA_002087855.3	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium caudatum
RS_GCA_023897235.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium longinucleatum
RS_GCA_023807345.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
RS_GCA_023807225.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium caudatum
RS_GCA_023805625.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium cattanei
RS_GCA_023807165.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium dentatum
RS_GCA_023806845.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium flabellum
RS_GCA_023807065.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
RS_GCA_023807205.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
RS_GCA_023806865.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha YL-2021a
RS_GCA_023805745.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha YL-2021b
RS_GCA_023805585.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Dasytricha;s__Dasytricha ruminantium
RS_GCA_023806825.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex caudatus
RS_GCA_023783355.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
RS_GCA_023805755.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eremoplastron;s__Eremoplastron rostratum
RS_GCA_023805525.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium gracile
RS_GCA_023807265.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Metadinium;s__Metadinium minorum
RS_GCA_023783335.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron triloricatum
RS_GCA_023805525.1	d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium dentatum
RS_GCA_002104895.1	d__Eukaryota;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Anaeromyces;s__Anaeromyces S4
RS_GCA_027248405.1	d__Eukaryota;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces SIG737
RS_GCA_002104975.1	d__Eukaryota;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Neocallimastix;s__Neocallimastix californiae
RS_GCA_016946835.1	d__Eukaryota;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Neocallimastix;s__Neocallimastix JGI-2020a
RS_GCA_002104945.1	d__Eukaryota;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Piromyces;s__Piromyces finnis
RS_GCA_002157105.1	d__Eukaryota;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Piromyces;s__Piromyces E2
RS_GCA_027248865.1	d__Eukaryota;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Piromyces;s__Piromyces SIG733
RS_GCA_000412615.1	d__Eukaryota;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Pecoramyces;s__Pecoramyces ruminantium
